GeneticGroup,SpawnTime,Count,Stock
Norwegian,Spring,80,Norwegian Spring-Spawner
North Atlantic,Autumn,54,North Atlantic Autumn-Spawner
Skagerrak & Kattegat,Spring,54,Skagerrak & Kattegat Spring-Spawner
North Sea,Autumn,34,North Sea Autumn-Spawner
Baltic,Spring,26,Baltic Spring-Spawner
Britain & Ireland,Autumn,23,Ireland & Britain Autumn-Spawner
Britain & Ireland,Spring,6,Ireland & Britain Spring-Spawner
Baltic,Autumn,4,Baltic Autumn-Spawner
Skagerrak & Kattegat,Autumn,3,Baltic Autumn-Spawner
North Atlantic,Spring,2,North Atlantic Spring-Spawner
North Sea,Spring,1,North Sea Spring-Spawner
