sample,x,y,sst_mean,sss_mean
201450544,-7.03463,61.88078,8.27371131759329,35.2181958070735
201450545,-7.03463,61.88078,8.27371131759329,35.2181958070735
201550141,-7.03463,61.88078,8.27371131759329,35.2181958070735
201550142,-7.03463,61.88078,8.27371131759329,35.2181958070735
201550143,-7.03463,61.88078,8.27371131759329,35.2181958070735
201550145,-7.03463,61.88078,8.27371131759329,35.2181958070735
201550147,-7.03463,61.88078,8.27371131759329,35.2181958070735
201550149,-7.03463,61.88078,8.27371131759329,35.2181958070735
201550562,-1.84517,64.51262,7.28985507707089,35.1081159287605
201550563,-1.84517,64.51262,7.28985507707089,35.1081159287605
201550564,-1.84517,64.51262,7.28985507707089,35.1081159287605
201550565,-1.84517,64.51262,7.28985507707089,35.1081159287605
201550566,-1.84517,64.51262,7.28985507707089,35.1081159287605
201550567,-1.84517,64.51262,7.28985507707089,35.1081159287605
201550568,-1.84517,64.51262,7.28985507707089,35.1081159287605
201550569,-1.84517,64.51262,7.28985507707089,35.1081159287605
201604591,-7.03463,61.88078,8.27371131759329,35.2181958070735
201650792,1.64507,59.81814,10.109558026435,34.8163535186599
201650793,1.64507,59.81814,10.109558026435,34.8163535186599
201650794,1.64507,59.81814,10.109558026435,34.8163535186599
201650795,1.64507,59.81814,10.109558026435,34.8163535186599
201650796,1.64507,59.81814,10.109558026435,34.8163535186599
201650797,1.64507,59.81814,10.109558026435,34.8163535186599
201650798,1.64507,59.81814,10.109558026435,34.8163535186599
201650799,1.64507,59.81814,10.109558026435,34.8163535186599
201750143,-7.03463,61.88078,8.27371131759329,35.2181958070735
201750144,-7.03463,61.88078,8.27371131759329,35.2181958070735
201750145,-7.03463,61.88078,8.27371131759329,35.2181958070735
201750146,-7.03463,61.88078,8.27371131759329,35.2181958070735
201750147,-7.03463,61.88078,8.27371131759329,35.2181958070735
201750149,-7.03463,61.88078,8.27371131759329,35.2181958070735
201750153,-7.03463,61.88078,8.27371131759329,35.2181958070735
201750154,-7.03463,61.88078,8.27371131759329,35.2181958070735
201750155,-7.03463,61.88078,8.27371131759329,35.2181958070735
201750157,-7.03463,61.88078,8.27371131759329,35.2181958070735
201750158,-7.03463,61.88078,8.27371131759329,35.2181958070735
201750159,-7.03463,61.88078,8.27371131759329,35.2181958070735
201750201,-19.09193,63.06307,9.07128204688048,35.0666669014173
201750202,-19.09193,63.06307,9.07128204688048,35.0666669014173
201750203,-19.09193,63.06307,9.07128204688048,35.0666669014173
201750204,-19.09193,63.06307,9.07128204688048,35.0666669014173
201750205,-19.09193,63.06307,9.07128204688048,35.0666669014173
201750206,-19.09193,63.06307,9.07128204688048,35.0666669014173
201750207,-19.09193,63.06307,9.07128204688048,35.0666669014173
201750212,-19.09193,63.06307,9.07128204688048,35.0666669014173
201750214,-19.09193,63.06307,9.07128204688048,35.0666669014173
201750215,-19.09193,63.06307,9.07128204688048,35.0666669014173
201750216,-19.09193,63.06307,9.07128204688048,35.0666669014173
201750217,-19.09193,63.06307,9.07128204688048,35.0666669014173
201750218,-19.09193,63.06307,9.07128204688048,35.0666669014173
201750219,-19.09193,63.06307,9.07128204688048,35.0666669014173
201750221,-19.09193,63.06307,9.07128204688048,35.0666669014173
201750222,-19.09193,63.06307,9.07128204688048,35.0666669014173
201750223,-19.09193,63.06307,9.07128204688048,35.0666669014173
201750224,-19.09193,63.06307,9.07128204688048,35.0666669014173
201750225,-19.09193,63.06307,9.07128204688048,35.0666669014173
201750226,-19.09193,63.06307,9.07128204688048,35.0666669014173
201750227,-19.09193,63.06307,9.07128204688048,35.0666669014173
201750228,-19.09193,63.06307,9.07128204688048,35.0666669014173
201750231,-19.09193,63.06307,9.07128204688048,35.0666669014173
201750232,-19.09193,63.06307,9.07128204688048,35.0666669014173
201750233,-19.09193,63.06307,9.07128204688048,35.0666669014173
201750234,-19.09193,63.06307,9.07128204688048,35.0666669014173
201750235,-19.09193,63.06307,9.07128204688048,35.0666669014173
201750236,-19.09193,63.06307,9.07128204688048,35.0666669014173
201750237,-19.09193,63.06307,9.07128204688048,35.0666669014173
201750238,-19.09193,63.06307,9.07128204688048,35.0666669014173
1552004523,-1.84517,64.51262,7.28985507707089,35.1081159287605
1552004524,-1.84517,64.51262,7.28985507707089,35.1081159287605
1552004526,-1.84517,64.51262,7.28985507707089,35.1081159287605
1552004722,-1.84517,64.51262,7.28985507707089,35.1081159287605
1552004723,-1.84517,64.51262,7.28985507707089,35.1081159287605
1552004724,-1.84517,64.51262,7.28985507707089,35.1081159287605
1552005123,-1.84517,64.51262,7.28985507707089,35.1081159287605
1552005124,-1.84517,64.51262,7.28985507707089,35.1081159287605
1552005125,-1.84517,64.51262,7.28985507707089,35.1081159287605
1552005524,-1.84517,64.51262,7.28985507707089,35.1081159287605
1552005525,-1.84517,64.51262,7.28985507707089,35.1081159287605
1552005923,-1.84517,64.51262,7.28985507707089,35.1081159287605
1552005924,-1.84517,64.51262,7.28985507707089,35.1081159287605
1552006326,-1.84517,64.51262,7.28985507707089,35.1081159287605
1552006327,-1.84517,64.51262,7.28985507707089,35.1081159287605
2015501410,-7.03463,61.88078,8.27371131759329,35.2181958070735
2015501411,-7.03463,61.88078,8.27371131759329,35.2181958070735
2015505610,-1.84517,64.51262,7.28985507707089,35.1081159287605
2015505612,-1.84517,64.51262,7.28985507707089,35.1081159287605
2015505613,-1.84517,64.51262,7.28985507707089,35.1081159287605
2015505622,-1.84517,64.51262,7.28985507707089,35.1081159287605
2015505623,-1.84517,64.51262,7.28985507707089,35.1081159287605
2015505624,-1.84517,64.51262,7.28985507707089,35.1081159287605
2016507910,1.64507,59.81814,10.109558026435,34.8163535186599
2016507911,1.64507,59.81814,10.109558026435,34.8163535186599
2016507912,1.64507,59.81814,10.109558026435,34.8163535186599
2016507913,1.64507,59.81814,10.109558026435,34.8163535186599
2016507915,1.64507,59.81814,10.109558026435,34.8163535186599
2016507916,1.64507,59.81814,10.109558026435,34.8163535186599
2016507918,1.64507,59.81814,10.109558026435,34.8163535186599
2016507919,1.64507,59.81814,10.109558026435,34.8163535186599
2016507920,1.64507,59.81814,10.109558026435,34.8163535186599
2017501410,-7.03463,61.88078,8.27371131759329,35.2181958070735
2017501411,-7.03463,61.88078,8.27371131759329,35.2181958070735
2017501414,-7.03463,61.88078,8.27371131759329,35.2181958070735
2017501510,-7.03463,61.88078,8.27371131759329,35.2181958070735
AAL1,-6.85,51.9833333333333,11.8445528231985,34.8628454751115
AAL2,-6.85,51.9833333333333,11.8445528231985,34.8628454751115
AAL3,-6.85,51.9833333333333,11.8445528231985,34.8628454751115
AF29,4.658203,61.185625,9.50488762641221,33.420393225852
AF30,4.658203,61.185625,9.50488762641221,33.420393225852
AF31,4.658203,61.185625,9.50488762641221,33.420393225852
AF8,4.658203,61.185625,9.50488762641221,33.420393225852
AK1,2.5,51.5666666666667,12.155270273621,34.1740538880632
AK2,2.5,51.5666666666667,12.155270273621,34.1740538880632
AK3,2.5,51.5666666666667,12.155270273621,34.1740538880632
AM27,10.25,64.866667,9.11662036401254,34.1067129947521
AM29,10.25,64.866667,9.11662036401254,34.1067129947521
AM33,10.25,64.866667,9.11662036401254,34.1067129947521
AM8,10.25,64.866667,9.11662036401254,34.1067129947521
Fehmarn3,11.5,54.8333333333333,9.74412217030998,17.9170229234768
Fehmarn44,11.5,54.8333333333333,9.74412217030998,17.9170229234768
Fehmarn6,11.5,54.8333333333333,9.74412217030998,17.9170229234768
MHER001,5.20294,59.30354,9.6566860426304,33.2994766235352
MHER002,5.20294,59.30354,9.6566860426304,33.2994766235352
MHER003,5.20294,59.30354,9.6566860426304,33.2994766235352
MHER005,7.00714,62.84068,8.85768788673974,33.8819653505535
MHER006,7.00714,62.84068,8.85768788673974,33.8819653505535
MHER007,7.00714,62.84068,8.85768788673974,33.8819653505535
MHER008,7.00714,62.84068,8.85768788673974,33.8819653505535
MHER009,9.23274,58.7203,9.95718453231367,30.4238834936642
MHER010,9.23274,58.7203,9.95718453231367,30.4238834936642
MHER011,9.23274,58.7203,9.95718453231367,30.4238834936642
MHER012,9.23274,58.7203,9.95718453231367,30.4238834936642
MHER013,11.32181,58.09425,9.86088436801417,24.5470068016831
MHER014,11.32181,58.09425,9.86088436801417,24.5470068016831
MHER015,11.32181,58.09425,9.86088436801417,24.5470068016831
MHER022,11.38076,59.07217,9.5455356836319,27.4035714353834
MHER023,11.38076,59.07217,9.5455356836319,27.4035714353834
MHER024,11.38076,59.07217,9.5455356836319,27.4035714353834
MHER028,11.38076,59.07217,9.5455356836319,27.4035714353834
MHER029,11.38076,59.07217,9.5455356836319,27.4035714353834
MHER030,11.38076,59.07217,9.5455356836319,27.4035714353834
MHER034,11.32181,58.09425,9.86088436801417,24.5470068016831
MHER035,11.32181,58.09425,9.86088436801417,24.5470068016831
MHER036,11.32181,58.09425,9.86088436801417,24.5470068016831
MHER037,11.32181,58.09425,9.86088436801417,24.5470068016831
MHER038,9.23274,58.7203,9.95718453231367,30.4238834936642
MHER039,9.23274,58.7203,9.95718453231367,30.4238834936642
MHER044,11.38076,59.07217,9.5455356836319,27.4035714353834
MHER045,11.38076,59.07217,9.5455356836319,27.4035714353834
MHER046,11.38076,59.07217,9.5455356836319,27.4035714353834
MHER053,5.20294,59.30354,9.6566860426304,33.2994766235352
MHER061,11.38076,59.07217,9.5455356836319,27.4035714353834
MHER062,11.38076,59.07217,9.5455356836319,27.4035714353834
MHER063,11.38076,59.07217,9.5455356836319,27.4035714353834
MHER064,11.38076,59.07217,9.5455356836319,27.4035714353834
MHER065,9.23274,58.7203,9.95718453231367,30.4238834936642
MHER066,9.23274,58.7203,9.95718453231367,30.4238834936642
NorthSea13,6.16666666666667,58.1,9.99125828332459,33.3162251908258
NorthSea19,6.16666666666667,58.1,9.99125828332459,33.3162251908258
NorthSea34,6.16666666666667,58.1,9.99125828332459,33.3162251908258
NSSH33,6.16666666666667,58.1,9.99125828332459,33.3162251908258
NSSH34,6.16666666666667,58.1,9.99125828332459,33.3162251908258
NSSH36,6.16666666666667,58.1,9.99125828332459,33.3162251908258
Z12,-4.61666666666667,54.1,11.1307237148285,33.7971711409719
Z14,-4.61666666666667,54.1,11.1307237148285,33.7971711409719
Z4,-4.61666666666667,54.1,11.1307237148285,33.7971711409719
